uid,pr_link,repo,pr_title,media_type,isGithub,link_count,link_url,link_text,rank
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25252/workflows/6b2e66c9-f65b-48bb-8829-f03b6ff606a8,Link 15,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25252/workflows/663f3541-90d6-4ab7-b567-671300b27009,Link 16,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25257/workflows/475c5cca-11b1-44c3-88e3-93acda2df6ca,Link 17,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25281/workflows/85031a4d-09dc-4673-9e1f-e460d5af9e15,Link 18,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25279/workflows/e7d64bdc-cca3-4c8d-8e07-d752ed2891ff,Link 19,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25295/workflows/943839f8-79ae-4f4a-b742-ae4fa60be556,Link 20,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25281/workflows/a7b9730f-c720-45cd-a270-853e2ebea264,Link 21,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25289/workflows/a4bd3192-29d0-40cf-9c78-2c6a19a1a6d2,Link 22,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25308/workflows/920e08d1-ca7a-4193-9b13-08002eeb3015,Link 23,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25308/workflows/e18bfcad-2823-4e7b-8028-78bb22d2c338,Link 24,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25308/workflows/5635d3fd-da08-4453-bc9e-83fecebb2539,Link 25,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25308/workflows/000727e0-ac70-490b-93b1-2173accaa135,Link 26,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25308/workflows/e09b8d0d-4e41-4834-b8a9-fe3000834b0b,Link 27,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark/14.0.1/age-slim,Link 1,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark/14.0.1/adoption-slim,Link 2,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark/14.0.1/compatibility-slim/12.0.1,Link 3,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark/14.0.1/confidence-slim/12.0.1,Link 4,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark-html/14.0.0/age-slim,Link 5,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark-html/14.0.0/adoption-slim,Link 6,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://app.renovatebot.com/images/banner.svg,Link 7,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark-html/14.0.0/compatibility-slim/13.0.1,Link 8,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://badges.renovateapi.com/packages/npm/remark-html/14.0.0/confidence-slim/13.0.1,Link 9,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://remark.js.org,Link 10,
9,https://github.com/angular/angular/pull/43191,angular/angular,build: update remark,unknown,FALSE,63,https://docs.renovatebot.com/merge-confidence/,Link 11,
